id,TimeStamp,Task,Gaze_behaviour,Facial_expression,P_x,P_y,P_z,P_ox,P_oy,P_oz,P_ro,D_x,D_y,D_z,D_ox,D_oy,D_oz,D_ro,distance3D,distance2D,started
26,0,Talking,Avert,,0,0,1.8,0,180,0,180,0,0.02,-1.573,0,0,0,0,3.373059,3.373,False
26,0.2569914,Talking,Follow,Sad,0.7833133,1.137016,2.443838,2.673198,355.0963,359.8622,191.0346,0,0.02,-1.573,0,0,0,11.03462,4.242203,4.092501,False
26,0.5178013,Talking,Follow,Sad,0.7835795,1.137187,2.443855,2.674392,355.1029,359.8633,191.0382,0,0.02,-1.573,0,0,0,11.03823,4.242314,4.092569,False
26,0.7736855,Talking,Follow,Sad,0.7836453,1.136615,2.444349,2.662928,355.1186,359.872,191.0378,0,0.02,-1.573,0,0,0,11.03781,4.242643,4.093066,False
26,1.029567,Talking,Follow,Sad,0.7836428,1.136597,2.443856,2.666685,355.1179,359.8848,191.0391,0,0.02,-1.573,0,0,0,11.0391,4.242171,4.092582,False
26,1.291553,Talking,Follow,Sad,0.7833296,1.136791,2.443985,2.665452,355.1233,359.8865,191.0345,0,0.02,-1.573,0,0,0,11.03445,4.242286,4.092648,False
26,1.551752,Talking,Follow,Sad,0.7836001,1.137124,2.443895,2.671279,355.1126,359.8744,191.0384,0,0.02,-1.573,0,0,0,11.03841,4.24234,4.092613,False
26,1.807996,Talking,Follow,Sad,0.7837914,1.13719,2.443703,2.675029,355.103,359.8608,191.0415,0,0.02,-1.573,0,0,0,11.04155,4.242209,4.09246,False
26,2.06726,Talking,Follow,Sad,0.7835698,1.136978,2.443898,2.669236,355.1043,359.8707,191.038,0,0.02,-1.573,0,0,0,11.03798,4.242298,4.092609,False
26,2.324516,Talking,Follow,Sad,0.7836199,1.136854,2.443791,2.676441,355.1078,359.8757,191.039,0,0.02,-1.573,0,0,0,11.03896,4.242174,4.092514,False
26,2.582087,Talking,Follow,Sad,0.7838687,1.137151,2.443867,2.672945,355.0992,359.8667,191.0422,0,0.02,-1.573,0,0,0,11.04217,4.242369,4.092636,False
26,2.841036,Talking,Follow,Sad,0.78371,1.137084,2.443862,2.676951,355.1026,359.8669,191.04,0,0.02,-1.573,0,0,0,11.04001,4.242317,4.092601,False
26,3.102676,Talking,Follow,Sad,0.7838297,1.136884,2.443781,2.677022,355.0989,359.8657,191.0419,0,0.02,-1.573,0,0,0,11.04187,4.24221,4.092544,False
26,3.362139,Talking,Follow,Sad,0.7838027,1.137023,2.444199,2.675017,355.1035,359.8727,191.0404,0,0.02,-1.573,0,0,0,11.04038,4.242638,4.092949,False
26,3.621838,Talking,Follow,Sad,0.783806,1.136815,2.443542,2.667749,355.0992,359.8668,191.0422,0,0.02,-1.573,0,0,0,11.04218,4.241962,4.092305,False
26,3.881465,Talking,Follow,Sad,0.7836075,1.136826,2.443649,2.669234,355.1017,359.8623,191.0392,0,0.02,-1.573,0,0,0,11.03917,4.242029,4.092372,False
26,4.140025,Talking,Follow,Sad,0.7836314,1.13703,2.443923,2.668916,355.1052,359.8691,191.0388,0,0.02,-1.573,0,0,0,11.03876,4.242347,4.092646,False
26,4.400416,Talking,Follow,Sad,0.7835386,1.136927,2.443834,2.671811,355.1115,359.8769,191.0377,0,0.02,-1.573,0,0,0,11.03773,4.242218,4.09254,False
26,4.656466,Talking,Follow,Sad,0.7836823,1.136769,2.443813,2.673167,355.1079,359.8724,191.0397,0,0.02,-1.573,0,0,0,11.03976,4.242183,4.092547,False
